Date,Close,Adj Close
14-04-1994,446.38,446.38
15-04-1994,446.18,446.18
18-04-1994,442.46,442.46
19-04-1994,442.54,442.54
20-04-1994,441.96,441.96
21-04-1994,448.73,448.73
22-04-1994,447.63,447.63
25-04-1994,452.71,452.71
26-04-1994,451.87,451.87
28-04-1994,449.1,449.1
29-04-1994,450.91,450.91
02-05-1994,453.02,453.02
03-05-1994,453.03,453.03
04-05-1994,451.72,451.72
05-05-1994,451.38,451.38
06-05-1994,447.82,447.82
09-05-1994,442.32,442.32
10-05-1994,446.01,446.01
11-05-1994,441.49,441.49
12-05-1994,443.75,443.75
13-05-1994,444.14,444.14
16-05-1994,444.49,444.49
17-05-1994,449.37,449.37
18-05-1994,453.69,453.69
19-05-1994,456.48,456.48
20-05-1994,454.92,454.92
23-05-1994,453.2,453.2
24-05-1994,454.81,454.81
25-05-1994,456.34,456.34
26-05-1994,457.06,457.06
27-05-1994,457.33,457.33
31-05-1994,456.5,456.5
01-06-1994,457.63,457.63
02-06-1994,457.65,457.65
03-06-1994,460.13,460.13
06-06-1994,458.88,458.88
07-06-1994,458.21,458.21
08-06-1994,457.06,457.06
09-06-1994,457.86,457.86
10-06-1994,458.67,458.67
13-06-1994,459.1,459.1
14-06-1994,462.37,462.37
15-06-1994,460.61,460.61
16-06-1994,461.93,461.93
17-06-1994,458.45,458.45
20-06-1994,455.48,455.48
21-06-1994,451.34,451.34
22-06-1994,453.09,453.09
23-06-1994,449.63,449.63
24-06-1994,442.8,442.8
27-06-1994,447.31,447.31
28-06-1994,446.07,446.07
29-06-1994,447.63,447.63
30-06-1994,444.27,444.27
01-07-1994,446.2,446.2
05-07-1994,446.37,446.37
06-07-1994,446.13,446.13
07-07-1994,448.38,448.38
08-07-1994,449.55,449.55
11-07-1994,448.06,448.06
12-07-1994,447.95,447.95
13-07-1994,448.73,448.73
14-07-1994,453.41,453.41
15-07-1994,454.16,454.16
18-07-1994,455.22,455.22
19-07-1994,453.86,453.86
20-07-1994,451.6,451.6
21-07-1994,452.61,452.61
22-07-1994,453.11,453.11
25-07-1994,454.25,454.25
26-07-1994,453.36,453.36
27-07-1994,452.57,452.57
28-07-1994,454.24,454.24
29-07-1994,458.26,458.26
01-08-1994,461.01,461.01
02-08-1994,460.56,460.56
03-08-1994,461.45,461.45
04-08-1994,458.4,458.4
05-08-1994,457.09,457.09
08-08-1994,457.89,457.89
09-08-1994,457.92,457.92
10-08-1994,460.3,460.3
11-08-1994,458.88,458.88
12-08-1994,461.94,461.94
15-08-1994,461.23,461.23
16-08-1994,465.01,465.01
17-08-1994,465.17,465.17
18-08-1994,463.17,463.17
19-08-1994,463.68,463.68
22-08-1994,462.32,462.32
23-08-1994,464.51,464.51
24-08-1994,469.03,469.03
25-08-1994,468.08,468.08
26-08-1994,473.8,473.8
29-08-1994,474.59,474.59
30-08-1994,476.07,476.07
31-08-1994,475.49,475.49
01-09-1994,473.17,473.17
02-09-1994,470.99,470.99
06-09-1994,471.86,471.86
07-09-1994,470.99,470.99
08-09-1994,473.14,473.14
09-09-1994,468.18,468.18
12-09-1994,466.21,466.21
13-09-1994,467.51,467.51
14-09-1994,468.8,468.8
15-09-1994,474.81,474.81
16-09-1994,471.19,471.19
19-09-1994,470.85,470.85
20-09-1994,463.36,463.36
21-09-1994,461.46,461.46
22-09-1994,461.27,461.27
23-09-1994,459.67,459.67
26-09-1994,460.82,460.82
27-09-1994,462.05,462.05
28-09-1994,464.84,464.84
29-09-1994,462.24,462.24
30-09-1994,462.71,462.71
03-10-1994,461.74,461.74
